row;nombre;marca;cantidad;unidad;precio;tipo
63;Salmon;Pesco;425;g;36850;integer
66;Salmon;Vitamar;350;g;37990;integer
68;Salmon;Antillana;450;g;43700;integer
82;Salmon;Vitamar;450;g;44100;integer
70;Salmon Ahumado;Antillana;100;g;15100;integer
50;Sobrebarriga;Jumbo;500;g;8600;integer
53;Sobrebarriga;Jumbo;200;g;32680;integer
154;Spaghetti;La muneca;1000;g;4390;integer
155;Spaghetti;Cuisine & Co;500;g;2490;integer
156;Spaghetti;La muneca;500;g;2690;integer
157;Spaghetti;Doria;250;g;1590;integer
158;Spaghetti;Doria;500;g;2790;integer
159;Spaghetti;Conzazoni;500;g;5390;integer
160;Spaghetti;Conzazoni;1000;g;8390;integer
161;Spaghetti;Monticello;250;g;2890;integer
61;Tilapia;Antillana;360;g;14800;integer
71;Tilapia;Antillana;800;g;28700;integer
72;Tilapia;Pesco;700;g;28500;integer
78;Tilapia;Vitamar;700;g;32600;integer
227;Tomate cherry;Jumbo;500;g;5990;integer
226;Tomate chonto;Jumbo;500;g;2118;integer
225;Tomate milano;Jumbo;500;g;3839;integer
62;Trucha;Pesco;450;g;25990;integer
211;Uva;Jumbo;1000;g;21978;integer
175;Vinagre blanco;Maxima;4000;ml;11390;integer
176;Vinagre blanco;Maxima;1000;ml;3190;integer
177;Vinagre blanco;Fruco;500;ml;4490;integer
178;Vinagre blanco;Colmans;500;ml;2790;integer
179;Vinagre blanco;De la selva;1000;ml;3390;integer
180;Vinagre blanco;Heinz;500;ml;4990;integer
181;Vinagre blanco;Maxima;500;ml;1750;integer
182;Vinagre blanco;Chang y Chang;400;ml;7790;integer
230;Yogurt;Alpina;750;g;8790;integer
231;Yogurt;Alpina;900;g;6590;integer
232;Yogurt;Regeneris;900;g;11590;integer
233;Yogurt;Alpina;1750;g;16590;integer
234;Yogurt;Colanta;1000;g;5990;integer
235;Yogurt;Alpina;1000;g;10390;integer
219;Yuca;Jumbo;500;g;2134;integer
229;Zanahoria;Jumbo;500;g;1227;integer
